Mosquito,Virus,n
Aedes aegypti,BAGV,1
Aedes aegypti,BEFV,1
Aedes aegypti,BFV,1
Aedes aegypti,CHIKV,24
Aedes aegypti,CVV,2
Aedes aegypti,DENV,47
Aedes aegypti,EEEV,1
Aedes aegypti,IFEV,1
Aedes aegypti,JEV,1
Aedes aegypti,MAYV,4
Aedes aegypti,RVFV,2
Aedes aegypti,SHUV,1
Aedes aegypti,SINV,2
Aedes aegypti,USUV,1
Aedes aegypti,VEEV,3
Aedes aegypti,WEEV,1
Aedes aegypti,WNV,1
Aedes aegypti,YFV,7
Aedes aegypti,ZIKV,35
Aedes albopictus,BFV,1
Aedes albopictus,BYDV,1
Aedes albopictus,CHIKV,23
Aedes albopictus,CVV,2
Aedes albopictus,DENV,19
Aedes albopictus,EEEV,1
Aedes albopictus,JEV,3
Aedes albopictus,LACV,1
Aedes albopictus,MAYV,1
Aedes albopictus,MVEV,1
Aedes albopictus,RRV,1
Aedes albopictus,SBV,1
Aedes albopictus,SLEV,1
Aedes albopictus,USUV,1
Aedes albopictus,VEEV,1
Aedes albopictus,WEEV,1
Aedes albopictus,WNV,10
Aedes albopictus,YFV,3
Aedes albopictus,ZIKV,18
Aedes alternans,RRV,1
Aedes anandalei,DENV,1
Aedes annulirostris,BFV,1
Aedes atropalpus,WNV,1
Aedes calceatus,RVFV,1
Aedes cinereus,ZIKV,1
Aedes circumluteolus,RVFV,1
Aedes eudes,ZIKV,1
Aedes furcifer,DENV,1
Aedes hensilli,CHIKV,1
Aedes hensilli,DENV,1
Aedes hensilli,ZIKV,1
Aedes japonicus,CVV,2
Aedes japonicus,EEEV,1
Aedes japonicus,JEV,2
Aedes japonicus,LACV,1
Aedes japonicus,RVFV,1
Aedes japonicus,SLEV,1
Aedes japonicus,USUV,1
Aedes japonicus,WNV,3
Aedes japonicus,ZIKV,4
Aedes kochi,RRV,1
Aedes luteocephalus,DENV,1
Aedes luteocephalus,ZIKV,1
Aedes malayensis,DENV,1
Aedes malayensis,YFV,1
Aedes mcintoshi,RVFV,1
Aedes notoscriptus,CHIKV,1
Aedes notoscriptus,JEV,1
Aedes notoscriptus,RRV,1
Aedes palpalae,RVFV,1
Aedes polynesiensis,CHIKV,2
Aedes polynesiensis,ZIKV,1
Aedes scutellaris,DENV,1
Aedes taylori,DENV,1
Aedes unilineatus,ZIKV,1
Aedes vexans,CHIKV,2
Aedes vexans,DENV,1
Aedes vexans,EEEV,1
Aedes vexans,KFV,1
Aedes vexans,RVFV,4
Aedes vexans,WNV,5
Aedes vexans,ZIKV,1
Aedes vittatus,ZIKV,1
Anopheles annulipes,RRV,1
Anopheles bancroftii,RRV,1
Anopheles claviger,SINV,1
Anopheles crucians,RVFV,1
Anopheles freeborni,MAYV,1
Anopheles gambiae,MAYV,1
Anopheles maculipennis,CHIKV,1
Anopheles maculipennis,DENV,1
Anopheles punctipennis,EEEV,1
Anopheles quadrimaculatus,CVV,1
Anopheles quadrimaculatus,EEEV,1
Anopheles quadrimaculatus,MAYV,1
Anopheles quadrimaculatus,RVFV,1
Anopheles stephensi,MAYV,1
Coquillettidia linealis,BFV,1
Coquillettidia linealis,CHIKV,1
Coquillettidia linealis,RRV,1
Coquillettidia perturbans,CVV,1
Coquillettidia perturbans,EEEV,1
Coquillettidia perturbans,RVFV,2
Coquillettidia perturbans,WNV,1
Coquillettidia perturbans,ZIKV,1
Coquillettidia xanthogaster,RRV,1
Culex annulirostris,CHIKV,1
Culex annulirostris,JEV,1
Culex annulirostris,RRV,1
Culex annulirostris,ZIKV,1
Culex antennatus,RVFV,1
Culex australicus,RRV,1
Culex cancer,VEEV,1
Culex coronator,EEEV,1
Culex coronator,VEEV,2
Culex declarator,VEEV,1
Culex declarator/mollis,EEEV,1
Culex erraticus,RVFV,1
Culex erythrothorax,RVFV,1
Culex erythrothorax,WNV,1
Culex gelidus,CHIKV,1
Culex gelidus,CHITV,1
Culex gelidus,CHPV,1
Culex gelidus,INGV,1
Culex gelidus,JEV,1
Culex gelidus,UMBV,1
Culex gelidus,WNV,1
Culex gnomatos,EEEV,1
Culex gnomatos,VEEV,2
Culex modestus,WNV,3
Culex nigripalpus,EVEV,1
Culex nigripalpus,RVFV,2
Culex nigripalpus,WNV,2
Culex nubeculosus,SBV,1
Culex ocossa,VEEV,1
Culex pedroi,EEEV,1
Culex pedroi,VEEV,2
Culex pipiens,BEFV,1
Culex pipiens,BYDV,1
Culex pipiens,CHIKV,2
Culex pipiens,DENV,1
Culex pipiens,DTV,1
Culex pipiens,EEEV,1
Culex pipiens,GETV,1
Culex pipiens,JEV,6
Culex pipiens,LACV,1
Culex pipiens,RABV,1
Culex pipiens,RVFV,7
Culex pipiens,SBV,2
Culex pipiens,SHUV,1
Culex pipiens,SINV,1
Culex pipiens,SLEV,2
Culex pipiens,USUV,3
Culex pipiens,WEEV,1
Culex pipiens,WNV,30
Culex pipiens,ZIKV,4
Culex portesi,EEEV,1
Culex portesi,VEEV,1
Culex pseudes,VEEV,1
Culex quinquefasciatus,BAGV,1
Culex quinquefasciatus,BEFV,1
Culex quinquefasciatus,BFV,1
Culex quinquefasciatus,BYDV,1
Culex quinquefasciatus,CHIKV,1
Culex quinquefasciatus,JEV,4
Culex quinquefasciatus,MAYV,2
Culex quinquefasciatus,RRV,1
Culex quinquefasciatus,RVFV,3
Culex quinquefasciatus,SLEV,4
Culex quinquefasciatus,WEEV,1
Culex quinquefasciatus,WNV,16
Culex quinquefasciatus,ZIKV,7
Culex restuans,LACV,1
Culex restuans,RVFV,1
Culex restuans,WNV,1
Culex restuans,ZIKV,1
Culex salinarius,EEEV,1
Culex salinarius,WNV,1
Culex sitiens,BFV,1
Culex sitiens,CHIKV,1
Culex sitiens,JEV,1
Culex sitiens,RRV,2
Culex sitiens,ZIKV,1
Culex sp.,VEEV,1
Culex spissipes,VEEV,1
Culex stigmatosoma,SLEV,1
Culex stigmatosoma,WNV,3
Culex taeniopus,VEEV,3
Culex tarsalis,RVFV,2
Culex tarsalis,SLEV,5
Culex tarsalis,WEEV,4
Culex tarsalis,WNV,8
Culex tarsalis,ZIKV,3
Culex theobaldi,VEEV,1
Culex thriambus,WNV,1
Culex torrentium,SINV,1
Culex torrentium,USUV,1
Culex torrentium,ZIKV,2
Culex tritaeniorhynchus,BAGV,1
Culex tritaeniorhynchus,BYDV,1
Culex tritaeniorhynchus,GETV,1
Culex tritaeniorhynchus,JEV,3
Culex tritaeniorhynchus,WEEV,1
Culex tritaeniorhynchus,WNV,2
Culex univittatus,WNV,1
Culex vansomereni,WNV,1
Culex vomerifer,EEEV,1
Culex vomerifer,VEEV,2
Culex zombaensis,RVFV,1
Culiseta annulata,JEV,1
Culiseta bergrothi,SINV,1
Culiseta incidens,WNV,1
Culiseta inornata,RVFV,1
Culiseta inornata,WNV,1
Culiseta melanura,EEEV,1
Culiseta melanura,WNV,1
Culiseta minnesotae,RVFV,1
Haemagogus leucocelaenus,CHIKV,1
Mansonia africana,WNV,1
Mansonia dyari,RVFV,1
Mansonia indubitans,VEEV,1
Mansonia titillans,VEEV,2
Mansonia uniformis,RRV,1
Mansonia uniformis,WNV,1
Ochlerotatus albifasciatus,WEEV,1
Ochlerotatus annulipes,SINV,1
Ochlerotatus atlanticus,RVFV,1
Ochlerotatus canadensis,EEEV,1
Ochlerotatus canadensis,WNV,1
Ochlerotatus cantator,WNV,1
Ochlerotatus caspius,CHIKV,1
Ochlerotatus caspius,WNV,1
Ochlerotatus caspius,ZIKV,2
Ochlerotatus communis,RVFV,1
Ochlerotatus detritus,CHIKV,2
Ochlerotatus detritus,DENV,1
Ochlerotatus detritus,JEV,1
Ochlerotatus detritus,RRV,1
Ochlerotatus detritus,RVFV,1
Ochlerotatus detritus,VEEV,1
Ochlerotatus detritus,ZIKV,1
Ochlerotatus dorsalis,RVFV,2
Ochlerotatus dorsalis,WEEV,1
Ochlerotatus dorsalis,WNV,1
Ochlerotatus fitchii,RVFV,1
Ochlerotatus fitchii,ZIKV,1
Ochlerotatus fulvus,EEEV,1
Ochlerotatus fulvus,VEEV,1
Ochlerotatus implicatus,RVFV,1
Ochlerotatus infirmatus,RVFV,1
Ochlerotatus melanimon,WNV,1
Ochlerotatus multiplex,RRV,1
Ochlerotatus procax,CHIKV,1
Ochlerotatus procax,RRV,1
Ochlerotatus procax,ZIKV,1
Ochlerotatus rusticus,RVFV,1
Ochlerotatus scapularis,ROCV,1
Ochlerotatus serratus,EEEV,1
Ochlerotatus serratus,ROCV,1
Ochlerotatus serratus,VEEV,2
Ochlerotatus sierrensis,WNV,1
Ochlerotatus sollicitans,EEEV,1
Ochlerotatus sollicitans,VEEV,1
Ochlerotatus sollicitans,WNV,1
Ochlerotatus sticticus,RVFV,1
Ochlerotatus sticticus,ZIKV,1
Ochlerotatus stimulans,RVFV,1
Ochlerotatus taeniorhynchus,EEEV,2
Ochlerotatus taeniorhynchus,VEEV,6
Ochlerotatus taeniorhynchus,WNV,1
Ochlerotatus terrens,CHIKV,1
Ochlerotatus triseriatus,CVV,2
Ochlerotatus triseriatus,LACV,5
Ochlerotatus triseriatus,VEEV,1
Ochlerotatus triseriatus,WNV,1
Ochlerotatus triseriatus,ZIKV,1
Ochlerotatus trivittatus,WNV,2
Ochlerotatus vigilax,BFV,1
Ochlerotatus vigilax,CHIKV,1
Ochlerotatus vigilax,JEV,1
Ochlerotatus vigilax,RRV,1
Ochlerotatus vigilax,ZIKV,1
Ochlerotatus vulvus,VEEV,1
Psorophora albigenu,EEEV,1
Psorophora albigenu,VEEV,2
Psorophora ciliata,RVFV,1
Psorophora cingulata,EEEV,1
Psorophora cingulata,VEEV,1
Psorophora columbiae,RVFV,1
Psorophora columbiae,VEEV,1
Psorophora confinnis,VEEV,2
Psorophora ferox,EEEV,1
Psorophora ferox,ROCV,1
Psorophora ferox,RVFV,1
Psorophora ferox,VEEV,1
Psorophora ferox,WNV,1
Verrallina funerea,BFV,1
Verrallina funerea,CHIKV,1
Verrallina funerea,RRV,2
