ID,Imported table,Title (from Imported table),DOI (from Imported table),Mosquito species,Mosquito subsp,Mosquito origin (country),Virus,Virus strain,DENV serotype,Notes,Attachments,Status
593,"""Paupy, C; Ollomo, B; Kamgang, B; Moutailler, S; Rousset, D; Demanou, M; Herve, JP; Leroy, E; Simard, F""",Comparative Role of Aedes albopictus and Aedes aegypti in the Emergence of Dengue and Chikungunya in Central Africa,10.1089/vbz.2009.0005,Aedes albopictus,,Cameroon,Dengue virus,DENV-2 (D2S32),DENV-2,,,
251,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Aedes cinereus,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
253,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Aedes fitchii,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
252,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Aedes eudes,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
254,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Aedes sticticus,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
255,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Aedes vexans,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
256,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Coquillettidia perturbans,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
257,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Culex restuans,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
258,"""Dibernardo, A; Turell, MJ; Lindsay, LR; Loomer, C; Iranpour, M""",VECTOR COMPETENCE OF SOME MOSQUITO SPECIES FROM CANADA FOR ZIKA VIRUS,10.2987/17-6664.1,Culex tarsalis,,Canada,Zika virus,PRVABC59 (Asian lineage),,,,
527,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes communis,,Canada,Rift Valley fever virus, ZH501,,,,
529,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes dorsalis,,Canada,Rift Valley fever virus, ZH501,,,,
532,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes stimulans,,Canada,Rift Valley fever virus, ZH501,,,,
530,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes fitchii,,Canada,Rift Valley fever virus, ZH501,,,,
531,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes implicatus,,Canada,Rift Valley fever virus, ZH501,,,,
533,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes sticticus,,Canada,Rift Valley fever virus, ZH501,,,,
534,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Aedes vexans,,Canada,Rift Valley fever virus, ZH501,,,,
536,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Culex restuans,,Canada,Rift Valley fever virus, ZH501,,,,
535,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Coquillettidia perturbans,,Canada,Rift Valley fever virus, ZH501,,,,
537,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Culex tarsalis,,Canada,Rift Valley fever virus, ZH501,,,,
